Date,Region,Area (km square),Population (Consensus 2017),COVID-19 Lockdown (1= no lockdown        2= school closure          3 = Country wide lockdown),Cumulative Cases,Cumulative  tests performed,Cumulative  Test positive,Discharged,Cumulative Expired (region/province wise),Home Quarantine,Still admitted,No of hospitals ,Beds for COVID,Total Admitted,Admitted Stable,Admitted Critical,Admitted Venilator,Home Quarantine,Recovered,Quarantine Facilities,Cumulative Quarantined,Foreign Transmission Percentage ,Local Transmission Percentage 
11-03-20,ICT,906,"2,001,579",1,48,80,2,0,0,,2,,,,,,,,,,,,
11-03-20,Punjab,"205,345","119,017,465",1,61,95,0,0,0,,0,,,,,,,,,,,,
11-03-20,Sindh,"140,914","47,893,244",1,84,171,14,1,0,,13,,,,,,,,,,,,
11-03-20,KP,"74,521","39,523,371",1,20,28,0,0,0,,0,,,,,,,,,,,,
11-03-20,KPTD,"27,220","4,996,556",1,3,0,0,0,0,,0,,,,,,,,,,,,
11-03-20,Balochistan,"347,190","12,344,739",1,19,18,1,0,0,,1,,,,,,,,,,,,
11-03-20,AJK,"13,297","4,045,000",1,3,4,0,0,0,,0,,,,,,,,,,,,
11-03-20,GB,"72,496","1,900,000",1,10,26,2,0,0,,2,,,,,,,,,,,,
12-03-20,ICT,906,"2,001,579",1,52,85,2,0,0,,2,,,,,,,,,,,,
12-03-20,Punjab,"205,345","119,017,465",1,67,105,0,0,0,,0,,,,,,,,,,,,
12-03-20,Sindh,"140,914","47,893,244",2,89,198,14,2,0,,12,,,,,,,,,,,,
12-03-20,KP,"74,521","39,523,371",1,24,29,0,0,0,,0,,,,,,,,,,,,
12-03-20,KPTD,"27,220","4,996,556",1,3,0,0,0,0,,0,,,,,,,,,,,,
12-03-20,Balochistan,"347,190","12,344,739",1,23,18,1,0,0,,1,,,,,,,,,,,,
12-03-20,AJK,"13,297","4,045,000",1,3,8,0,0,0,,0,,,,,,,,,,,,
12-03-20,GB,"72,496","1,900,000",1,10,28,3,0,0,,3,,,,,,,,,,,,
13-03-20,ICT,906,"2,001,579",1,57,92,2,0,0,,2,,,,,,,,,,,,
13-03-20,Punjab,"205,345","119,017,465",1,71,110,0,0,0,,0,,,,,,,,,,,,
13-03-20,Sindh,"140,914","47,893,244",2,107,240,15,2,0,,13,,,,,,,,,,,,
13-03-20,KP,"74,521","39,523,371",1,27,30,0,0,0,,0,,,,,,,,,,,,
13-03-20,KPTD,"27,220","4,996,556",1,4,0,0,0,0,,0,,,,,,,,,,,,
13-03-20,Balochistan,"347,190","12,344,739",1,31,18,1,0,0,,1,,,,,,,,,,,,
13-03-20,AJK,"13,297","4,045,000",1,4,9,0,0,0,,0,,,,,,,,,,,,
13-03-20,GB,"72,496","1,900,000",1,17,32,3,0,0,,3,,,,,,,,,,,,
14-03-20,ICT,906,"2,001,579",1,62,99,3,0,0,,3,,,,,,,,,,,,
14-03-20,Punjab,"205,345","119,017,465",1,77,116,0,0,0,,0,,,,,,,,,,,,
14-03-20,Sindh,"140,914","47,893,244",2,119,282,16,3,0,,13,,,,,,,,,,,,
14-03-20,KP,"74,521","39,523,371",1,29,31,0,0,0,,0,,,,,,,,,,,,
14-03-20,KPTD,"27,220","4,996,556",1,4,0,0,0,0,,0,,,,,,,,,,,,
14-03-20,Balochistan,"347,190","12,344,739",1,45,35,6,0,0,,6,,,,,,,,,,,,
14-03-20,AJK,"13,297","4,045,000",1,4,10,0,0,0,,0,,,,,,,,,,,,
14-03-20,GB,"72,496","1,900,000",1,23,36,3,0,0,,3,,,,,,,,,,,,
15-03-20,ICT,906,"2,001,579",1,65,115,4,0,0,,4,,,,,,,,,,,,
15-03-20,Punjab,"205,345","119,017,465",1,83,126,0,0,0,,0,,,,,,,,,,,,
15-03-20,Sindh,"140,914","47,893,244",2,127,315,18,3,0,,15,,,,,,,,,,,,
15-03-20,KP,"74,521","39,523,371",1,30,32,0,0,0,,0,,,,,,,,,,,,
15-03-20,KPTD,"27,220","4,996,556",1,5,0,0,0,0,,0,,,,,,,,,,,,
15-03-20,Balochistan,"347,190","12,344,739",1,45,42,6,0,0,,6,,,,,,,,,,,,
15-03-20,AJK,"13,297","4,045,000",1,4,11,0,0,0,,0,,,,,,,,,,,,
15-03-20,GB,"72,496","1,900,000",1,23,45,3,0,0,,3,,,,,,,,,,,,
16-03-20,ICT,906,"2,001,579",1,69,147,4,0,0,,4,,,,,,,,,,,,
16-03-20,Punjab,"205,345","119,017,465",1,95,166,1,0,0,,1,,,,,,,,,,,,
16-03-20,Sindh,"140,914","47,893,244",2,135,364,34,3,0,,32,,,,,,,,,,,,
16-03-20,KP,"74,521","39,523,371",1,36,32,0,0,0,,0,,,,,,,,,,,,
16-03-20,KPTD,"27,220","4,996,556",1,5,0,0,0,0,,0,,,,,,,,,,,,
16-03-20,Balochistan,"347,190","12,344,739",1,70,40,5,0,0,,10,,,,,,,,,,,,
16-03-20,AJK,"13,297","4,045,000",1,9,11,0,0,0,,0,,,,,,,,,,,,
16-03-20,GB,"72,496","1,900,000",1,23,45,3,0,0,,3,,,,,,,,,,,,
17-Mar-2020,ICT,906,"2,001,579",1,76,581,4,1,0,,3,,,,,,,,,,,,
17-03-20,Punjab,"205,345","119,017,465",1,112,166,1,0,0,,1,,,,,,,,,,,,
17-03-20,Sindh,"140,914","47,893,244",2,140,554,150,3,0,,147,,,,,,,,,,,,
17-03-20,KP,"74,521","39,523,371",1,52,51,15,0,0,,15,,,,,,,,,,,,
17-03-20,KPTD,"27,220","4,996,556",1,5,0,0,0,0,,0,,,,,,,,,,,,
17-03-20,Balochistan,"347,190","12,344,739",1,103,163,14,0,0,,14,,,,,,,,,,,,
17-03-20,AJK,"13,297","4,045,000",1,20,11,0,0,0,,0,,,,,,,,,,,,
17-03-20,GB,"72,496","1,900,000",1,25,45,3,0,0,,3,,,,,,,,,,,,
18-03-20,ICT,906,"2,001,579",1,84,627,8,1,0,,3,,,,,,,,,,,,
18-03-20,Punjab,"205,345","119,017,465",1,129,133,26,0,0,,26,,,,,,,,,,,,
18-03-20,Sindh,"140,914","47,893,244",2,151,606,172,3,0,,169,,,,,,,,,,,,
18-03-20,KP,"74,521","39,523,371",1,58,42,17,0,0,,17,,,,,,,,,,,,
18-03-20,KPTD,"27,220","4,996,556",1,6,0,0,0,0,,0,,,,,,,,,,,,
18-03-20,Balochistan,"347,190","12,344,739",1,134,151,15,0,0,,15,,,,,,,,,,,,
18-03-20,AJK,"13,297","4,045,000",1,21,11,0,0,0,,0,,,,,,,,,,,,
18-03-20,GB,"72,496","1,900,000",1,29,51,3,0,0,,5,,,,,,,,,,,,
19-Mar-2020,ICT,906,"2,001,579",1,103,184,5,2,0,,3,,,,,,,,,,,,
19-03-20,Punjab,"205,345","119,017,465",1,158,254,33,0,0,,33,,,,,,,,,,,,
19-03-20,Sindh,"140,914","47,893,244",2,173,908,208,3,0,,205,,,,,,,,,,,,
19-03-20,KP,"74,521","39,523,371",1,72,67,19,0,2,,17,,,,,,,,,,,,
19-03-20,KPTD,"27,220","4,996,556",1,7,0,0,0,0,,0,,,,,,,,,,,,
19-03-20,Balochistan,"347,190","12,344,739",1,134,637,23,0,0,,23,,,,,,,,,,,,
19-03-20,AJK,"13,297","4,045,000",1,23,23,1,0,0,,1,,,,,,,,,,,,
19-03-20,GB,"72,496","1,900,000",1,64,90,13,0,0,,11,,,,,,,,,,,,
20-03-20,ICT,906,"2,001,579",1,137,277,10,2,0,,8,,,,,,,,,,,,
20-Mar-2020,Punjab,"205,345","119,017,465",1,182,872,80,0,0,,80,,,,,,,,,,,,
20-03-20,Sindh,"140,914","47,893,244",2,182,1210,245,3,0,,242,,,,,,,,,,,,
20-03-20,KP,"74,521","39,523,371",1,94,67,23,0,2,,21,,,,,,,,,,,,
20-03-20,KPTD,"27,220","4,996,556",1,19,0,0,0,0,,0,,,,,,,,,,,,
20-03-20,Balochistan,"347,190","12,344,739",1,650,805,81,0,0,,81,,,,,,,,,,,,
20-03-20,AJK,"13,297","4,045,000",1,36,36,1,0,0,,1,,,,,,,,,,,,
20-03-20,GB,"72,496","1,900,000",1,64,143,21,0,0,,21,,,,,,,,,,,,
21-Mar-2020,ICT,906,"2,001,579",1,171,325,11,2,0,,9,,,,,,,,,,,,
21-Mar-2020,Punjab,"205,345","119,017,465",1,196,894,96,0,0,,96,,,,,,,,,,,,
21-03-20,Sindh,"140,914","47,893,244",2,210,1497,253,3,1,,249,,,,,,,,,,,,
21-03-20,KP,"74,521","39,523,371",1,130,130,23,0,2,,21,,,,,,,,,,,,
21-03-20,KPTD,"27,220","4,996,556",1,21,0,0,0,0,,0,,,,,,,,,,,,
21-03-20,Balochistan,"347,190","12,344,739",1,698,805,81,0,0,,81,,,,,,,,,,,,
21-Mar-2020,AJK,"13,297","4,045,000",1,40,40,1,0,0,,1,,,,,,,,,,,,
21-03-20,GB,"72,496","1,900,000",1,310,310,30,0,0,,30,,,,,,,,,,,,
22-03-20,ICT,906,"2,001,579",1,188,366,11,2,0,,9,,,,,,,,,,,,
22-03-20,Punjab,"205,345","119,017,465",1,246,1361,152,0,0,,152,,,,,,,,,,,,
22-03-20,Sindh,"140,914","47,893,244",2,232,1497,396,3,1,,392,,,,,,,,,,,,
22-03-20,KP,"74,521","39,523,371",1,155,264,31,0,2,,29,,,,,,,,,,,,
22-03-20,KPTD,"27,220","4,996,556",1,21,0,0,0,0,,0,,,,,,,,,,,,
22-03-20,Balochistan,"347,190","12,344,739",1,1380,1380,104,0,0,,104,,,,,,,,,,,,
22-03-20,AJK,"13,297","4,045,000",1,42,42,1,0,0,,1,,,,,,,,,,,,
22-03-20,GB,"72,496","1,900,000",1,310,315,55,0,0,,55,,,,,,,,,,,,
23-Mar-2020,ICT,906,"2,001,579",1,198,404,15,2,0,,13,,,,,,,,,,,,
23-03-20,Punjab,"205,345","119,017,465",1,257,1436,225,0,0,,225,,,,,,,,,,,,
23-03-20,Sindh,"140,914","47,893,244",2,232,1512,333,4,1,,328,,,,,,,,,,,,
23-03-20,KP,"74,521","39,523,371",1,196,305,31,0,3,,28,,,,,,,,,,,,
23-03-20,Balochistan,"347,190","12,344,739",1,1405,1405,108,0,1,,107,,,,,,,,,,,,
23-03-20,AJK,"13,297","4,045,000",1,44,44,1,0,0,,1,,,,,,,,,,,,
23-03-20,GB,"72,496","1,900,000",1,310,338,71,0,0,,71,,,,,,,,,,,,
24-03-20,ICT,906,"2,001,579",1,226,427,15,2,0,,13,,,,,,,,,,,,
24-03-20,Punjab,"205,345","119,017,465",1,257,1436,249,0,0,,249,,,,,,,,,,,,
24-Mar-2020,Sindh,"140,914","47,893,244",2,232,1579,394,4,1,,389,,,,,,,,,,,,
24-03-20,KP,"74,521","39,523,371",1,431,448,38,0,3,,35,,,,,,,,,,,,
24-03-20,Balochistan,"347,190","12,344,739",1,1407,1407,110,0,1,,109,,,,,,,,,,,,
24-03-20,AJK,"13,297","4,045,000",1,60,60,1,0,0,,1,,,,,,,,,,,,
24-03-20,GB,"72,496","1,900,000",1,310,500,80,0,1,,79,,,,,,,,,,,,
25-03-20,ICT,906,"2,001,579",3,236,459,18,2,0,,16,,,,,,,,,,,,
25-03-20,Punjab,"205,345","119,017,465",3,257,1436,296,2,1,,293,,,,,,,,,,,,
25-03-20,Sindh,"140,914","47,893,244",3,238,1579,407,14,1,,392,,,,,,,,,,,,
25-03-20,KP,"74,521","39,523,371",3,538,566,78,0,3,,75,,,,,,,,,,,,
25-03-20,Balochistan,"347,190","12,344,739",3,1437,1437,110,0,1,,109,,,,,,,,,,,,
25-03-20,AJK,"13,297","4,045,000",3,65,66,1,0,0,,1,,,,,,,,,,,,
25-03-20,GB,"72,496","1,900,000",3,347,580,81,0,1,,80,,,,,,,,,,,,
26-03-20,ICT,906,"2,001,579",3,255,561,25,2,0,,8,,,,,,,,,,,,
26-Mar-2020,Punjab,"205,345","119,017,465",3,257,1436,323,3,2,,318,,,,,,,,,,,,
26-Mar-2020,Sindh,"140,914","47,893,244",3,295,1592,413,14,1,,398,,,,,,,,,,,,
26-Mar-2020,KP,"74,521","39,523,371",3,694,704,80,2,3,,75,,,,,,,,,,,,
26-Mar-2020,Balochistan,"347,190","12,344,739",3,1437,1455,131,0,1,,130,,,,,,,,,,,,
26-Mar-2020,AJK,"13,297","4,045,000",3,77,77,1,0,0,,1,,,,,,,,,,,,
26-Mar-2020,GB,"72,496","1,900,000",3,347,624,84,0,1,,83,,,,,,,,,,,,
27-Mar-2020,ICT,906,"2,001,579",3,712,712,25,2,0,,12,,,,,,,,,,,,
27-Mar-2020,Punjab,"205,345","119,017,465",3,1298,2257,408,3,3,,402,,,,,,,,,,,,
27-Mar-2020,Sindh,"140,914","47,893,244",3,4456,1592,417,14,1,,402,,,,,,,,,,,,
27-Mar-2020,KP,"74,521","39,523,371",3,704,917,123,2,3,,118,,,,,,,,,,,,
27-Mar-2020,Balochistan,"347,190","12,344,739",3,1494,1512,131,0,1,,130,,,,,,,,,,,,
27-Mar-2020,AJK,"13,297","4,045,000",3,83,83,2,0,0,,2,,,,,,,,,,,,
27-Mar-2020,GB,"72,496","1,900,000",3,777,762,91,2,1,,88,,,,,,,,,,,,
28-Mar-2020,ICT,906,"2,001,579",3,910,1056,39,2,0,,8,,,,,,,,,,,,
28-Mar-2020,Punjab,"205,345","119,017,465",3,3339,3310,490,4,5,,237,,,,,,,,,,,,
28-Mar-2020,Sindh,"140,914","47,893,244",3,4807,5158,457,14,1,,294,,,,,,,,,,,,
28-Mar-2020,KP,"74,521","39,523,371",3,820,1121,180,2,3,,50,,,,,,,,,,,,
28-Mar-2020,Balochistan,"347,190","12,344,739",3,1494,1657,133,2,1,,122,,,,,,,,,,,,
28-Mar-2020,AJK,"13,297","4,045,000",3,90,97,2,0,0,,2,,,,,,,,,,,,
28-Mar-2020,GB,"72,496","1,900,000",3,787,832,107,3,1,,12,,,,,,,,,,,,
29-Mar-2020,ICT,906,"2,001,579",3,1067,1213,43,2,0,30,11,,,,,,,,,,,,
29-Mar-2020,Punjab,"205,345","119,017,465",3,3521,3492,558,4,5,302,247,,,,,,,,,,,,
29-Mar-2020,Sindh,"140,914","47,893,244",3,5322,5673,481,14,2,171,294,,,,,,,,,,,,
29-Mar-2020,KP,"74,521","39,523,371",3,928,1229,188,2,4,122,60,,,,,,,,,,,,
29-Mar-2020,Balochistan,"347,190","12,344,739",3,1601,1737,138,2,1,5,130,,,,,,,,,,,,
29-Mar-2020,AJK,"13,297","4,045,000",3,97,97,2,0,0,0,2,,,,,,,,,,,,
29-Mar-2020,GB,"72,496","1,900,000",3,788,895,116,4,1,99,12,,,,,,,,,,,,
30-03-20,ICT,906,"2,001,579",3,1200,1310,51,3,0,35,13,,,,,,,,,,,,
30-03-20,Punjab,"205,345","119,017,465",3,3616,3492,593,5,6,329,253,,,,,,,,,,,,
30-03-20,Sindh,"140,914","47,893,244",3,5945,5945,508,16,5,181,306,,,,,,,,,,,,
30-03-20,KP,"74,521","39,523,371",3,1022,1324,195,2,5,128,60,,,,,,,,,,,,
30-03-20,Balochistan,"347,190","12,344,739",3,1695,1710,144,2,1,8,133,,,,,,,,,,,,
30-03-20,AJK,"13,297","4,045,000",3,105,105,6,0,0,0,6,,,,,,,,,,,,
30-03-20,GB,"72,496","1,900,000",3,862,862,128,4,1,111,12,,,,,,,,,,,,
31-03-20,ICT,906,"2,001,579",3,1395,1469,58,3,0,39,16,,,,,,,,,,,,
31-03-20,Punjab,"205,345","119,017,465",3,3770,2500,652,5,9,335,303,,,,,,,,,,,,
31-03-20,Sindh,"140,914","47,893,244",3,6328,6328,627,42,7,263,315,,,,,,,,,,,,
31-03-20,KP,"74,521","39,523,371",3,1334,1512,221,2,6,143,70,,,,,,,,,,,,
31-03-20,Balochistan,"347,190","12,344,739",3,1825,1792,153,2,1,11,139,,,,,,,,,,,,
31-03-20,AJK,"13,297","4,045,000",3,177,177,6,0,0,0,6,,,,,,,,,,,,
31-03-20,GB,"72,496","1,900,000",3,880,880,148,4,2,130,12,,,,,,,,,,,,
01-04-20,ICT,906,"2,001,579",3,1703,1703,54,3,0,35,16,,,,,,,,,,,,
01-04-20,Punjab,"205,345","119,017,465",3,4462,2720,708,5,9,337,357,,,,,,,,,,,,
01-04-20,Sindh,"140,914","47,893,244",3,6578,6578,676,51,8,232,385,,,,,,,,,,,,
01-04-20,KP,"74,521","39,523,371",3,1524,1271,253,2,6,171,74,,,,,,,,,,,,
01-04-20,Balochistan,"347,190","12,344,739",3,1934,1934,158,17,1,16,124,,,,,,,,,,,,
01-04-20,AJK,"13,297","4,045,000",3,239,239,6,0,0,0,6,,,,,,,,,,,,
01-04-20,GB,"72,496","1,900,000",3,891,750,184,4,2,166,12,,,,,,,,,,,,
02-04-20,ICT,906,"2,001,579",3,1997,1997,62,3,0,44,15,,,,,,,,,,,,
02-04-20,Punjab,"205,345","119,017,465",3,5086,2945,845,6,11,444,384,,,,,,,,,,,,
02-04-20,Sindh,"140,914","47,893,244",3,6926,6926,743,58,9,289,387,,,,,,,,,,,,
02-04-20,KP,"74,521","39,523,371",3,1814,1814,276,19,8,165,84,,,,,,,,,,,,
02-04-20,Balochistan,"347,190","12,344,739",3,2049,2049,169,17,1,26,125,,,,,,,,,,,,
02-04-20,AJK,"13,297","4,045,000",3,249,249,9,0,0,0,9,,,,,,,,,,,,
02-04-20,GB,"72,496","1,900,000",3,894,797,187,4,2,169,12,,,,,,,,,,,,
03-04-20,ICT,906,"2,001,579",3,2395,2395,68,3,0,47,18,,,,,,,,,,,,
03-04-20,Punjab,"205,345","119,017,465",3,5522,15134,920,6,11,447,456,,,,,,,,,,,,
03-04-20,Sindh,"140,914","47,893,244",3,7504,7504,783,65,11,297,410,,,,,,,,,,,,
03-04-20,KP,"74,521","39,523,371",3,1938,1938,311,30,9,180,92,,,,,,,,,,,,
03-04-20,Balochistan,"347,190","12,344,739",3,2171,2171,169,17,1,26,125,,,,,,,,,,,,
03-04-20,AJK,"13,297","4,045,000",3,322,322,9,0,0,0,9,,,,,,,,,,,,
03-04-20,GB,"72,496","1,900,000",3,961,844,190,5,3,170,12,,,,,,,,,,,,
04-04-20,AJK,"13,297","4,045,000",3,343,343,11,0,0,0,11,14,262,11,11,0,0,0,0,57,192,0.27,0.73
04-04-20,Balochistan,"347,190","12,344,739",3,2401,2401,175,17,1,25,132,74,1699,132,132,0,0,25,17,68,273,0.8,0.19
04-04-20,GB,"72,496","1,900,000",3,963,860,193,9,3,169,12,26,151,12,12,0,0,169,9,47,274,0.83,0.17
04-04-20,ICT,906,"2,001,579",3,2569,2569,75,3,0,58,14,2,40,14,12,2,0,58,3,6,243,0.23,0.77
04-04-20,KP,"74,521","39,523,371",3,2369,1624,343,30,11,210,92,141,3046,92,87,5,0,210,30,102,3306,0.68,0.32
04-04-20,Punjab,"205,345","119,017,465",3,5456,16508,1072,6,11,549,506,147,1592,506,505,1,0,549,6,33,4254,0.73,0.27
04-04-20,Sindh,"140,914","47,893,244",3,8625,8625,839,65,14,369,391,45,505,391,386,5,0,369,65,5,1363,0.41,0.59
05-04-20,AJK,"13,297","4,045,000",3,385,385,12,1,0,0,11,14,262,11,11,0,0,0,1,57,170,0.25,0.75
05-04-20,Balochistan,"347,190","12,344,739",3,2513,2513,185,17,1,34,133,87,1699,133,133,0,0,34,17,68,335,0.76,0.24
05-04-20,GB,"72,496","1,900,000",3,1058,975,206,9,3,182,12,26,151,12,12,0,0,182,9,47,274,0.83,0.17
05-04-20,ICT,906,"2,001,579",3,2744,2744,78,3,0,65,10,2,40,10,8,2,0,65,3,10,426,0.22,0.78
05-04-20,KP,"74,521","39,523,371",3,2548,1769,372,30,14,233,95,141,3046,95,85,10,0,233,30,103,3342,0.65,0.35
05-04-20,Punjab,"205,345","119,017,465",3,7859,17653,1163,25,12,600,526,147,1592,526,525,1,0,600,25,33,12001,0.71,0.3
05-04-20,Sindh,"140,914","47,893,244",3,8846,8846,864,85,15,374,390,45,505,390,385,5,0,374,85,5,1363,0.4,0.6
06-04-20,AJK,"13,297","4,045,000",3,400,400,15,1,0,0,14,14,262,14,14,0,0,0,1,57,171,0.4,0.6
06-04-20,Balochistan,"347,190","12,344,739",3,3504,2777,191,30,1,48,112,87,1699,112,112,0,0,48,30,68,304,0.74,0.23
